Title,INCLUDE,Article_Link,DOI,Unnamed: 4
AN EFFORT ESTIMATION TAXONOMY FOR AGILE SOFTWARE DEVELOPMENT,Y,http://dx.doi.org/10.4018/978-1-6684-3702-5.ch008,10.4018/978-1-6684-3702-5.ch008,
SURVEY OF SOFTWARE DEVELOPMENT EFFORT ESTIMATION TAXONOMIES,Y,http://dx.doi.org/10.1049/iet-sen.2009.0051,10.1049/iet-sen.2009.0051,
A TAXONOMY OF WEB EFFORT PREDICTORS,Y,http://dx.doi.org/10.1145/2601248.2601281,10.1145/2601248.2601281,
SUPPORTING EFFORT ESTIMATION IN AGILE SOFTWARE DEVELOPMENT,Y,http://dx.doi.org/10.4018/978-1-6684-3702-5.ch008,10.4018/978-1-6684-3702-5.ch008,
A SPECIALIZED GLOBAL SOFTWARE ENGINEERING TAXONOMY FOR EFFORT ESTIMATION,Y,http://dx.doi.org/10.1109/icgse.2016.11,10.1109/icgse.2016.11,
KNOWLEDGE CLASSIFICATION FOR SUPPORTING EFFORT ESTIMATION IN GLOBAL SOFTWARE ENGINEERING PROJECTS,Y,http://dx.doi.org/10.5220/0005002600260035,10.5220/0005002600260035,
A SYSTEMATIC LITERATURE REVIEW ON REASONS AND APPROACHES FOR ACCURATE EFFORT ESTIMATIONS IN AGILE,Y,http://dx.doi.org/10.1145/3663365,10.1145/3663365,
TAXONOMY FOR COMPLEXITY ESTIMATION IN AGILE METHODOLOGIES: A SYSTEMATIC LITERATURE REVIEW,Y,http://dx.doi.org/10.1109/conisoft.2019.00022,10.1109/conisoft.2019.00022,
A TAXONOMY OF APPROACHES AND METHODS FOR SOFTWARE EFFORT ESTIMATION,Y,http://dx.doi.org/10.1007/978-981-16-8987-1_11,10.1007/978-981-16-8987-1_11,
A SOFTWARE COST ESTIMATION TAXONOMY FOR GLOBAL SOFTWARE DEVELOPMENT PROJECTS.,Y,http://dx.doi.org/10.5220/0007841202180225,10.5220/0007841202180225,
AN EXTENDED GLOBAL SOFTWARE ENGINEERING TAXONOMY,Y,http://dx.doi.org/10.1186/s40411-016-0029-2,10.1186/s40411-016-0029-2,
TOWARDS A COMMON CLASSIFICATION OF CHANGES FOR INFORMATION AND AUTOMATED PRODUCTION SYSTEMS AS PRECONDITION FOR MAINTENANCE EFFORT ESTIMATION,Y,http://dx.doi.org/10.1109/indin.2016.7819152,10.1109/indin.2016.7819152,
TOWARDS A TAXONOMY OF HYPERMEDIA AND WEB APPLICATION SIZE METRICS,Y,http://dx.doi.org/10.1007/11531371_17,10.1007/11531371_17,
TAXONOMIES IN SOFTWARE ENGINEERING: A SYSTEMATIC MAPPING STUDY AND A REVISED TAXONOMY DEVELOPMENT METHOD,Y,http://dx.doi.org/10.1016/j.infsof.2017.01.006,10.1016/j.infsof.2017.01.006,
THE TAXONOMY OF ESTIMATION IN SOFTWARE DEVELOPMENT PROJECTS.,Y,http://dx.doi.org/10.5220/0007841202180225,10.5220/0007841202180225,
AN EMPIRICALLY BASED TERMINOLOGY AND TAXONOMY FOR GLOBAL SOFTWARE ENGINEERING,Y,http://dx.doi.org/10.1007/s10664-012-9217-9,10.1007/s10664-012-9217-9,
A SURVEY AND CLASSIFICATION OF THE WORKLOAD FORECASTING METHODS IN CLOUD COMPUTING,Y,http://dx.doi.org/10.1007/s10586-019-03010-3,10.1007/s10586-019-03010-3,
